n,Karatsuba
1483,4733617
1484,4752354
1485,4744441
1486,4766171
1487,4772895
1488,4767237
1489,4751944
1490,4795117
1491,4771460
1492,4805613
1493,4778225
1494,4800857
1495,4809139
1496,4813854
1497,4818774
1498,4832878
1499,4817667
1500,4842062
1501,4838495
1502,4839971
1503,4853829
1504,4858708
1505,4872976
1506,4879372
1507,4892123
1508,4897863
1509,4885399
1510,4888474
1511,4894706
1512,4934066
1513,4903562
1514,4896797
1515,4916067
1516,4945177
1517,4940954
1518,4949851
1519,4917543
1520,4946899
1521,4956862
1522,4959568
1523,4968465
1524,4966374
1525,4994869
1526,4980150
1527,4989580
1528,4985398
1529,5011597
1530,5005570
1531,4993557
1532,5007374
1533,5017337
1534,5030908
1535,5042101
1536,5035582
1537,5042142
1538,5052023
1539,5078755
1540,5066537
1541,5067685
1542,5087201
1543,5103642
1544,5093228
1545,5089620
1546,5104216
1547,5103765
1548,5103519
1549,5109054
1550,5109136
1551,5133367
1552,5144683
1553,5125741
1554,5105774
1555,5153908
1556,5143699
1557,5157680
1558,5153088
1559,5197163
1560,5176458
1561,5173834
1562,5165388
1563,5196220
1564,5184371
1565,5192407
1566,5227954
1567,5197450
1568,5215490
1569,5220738
1570,5240459
1571,5253784
1572,5225289
1573,5260590
1574,5238327
1575,5261123
1576,5266043
1577,5258130
1578,5291299
1579,5275227
1580,5286707
1581,5297654
1582,5275924
1583,5289536
1584,5294292
1585,5314095
1586,5319384
1587,5316473
1588,5320860
1589,5342057
1590,5370470
1591,5330905
1592,5345255
1593,5355792
1594,5364648
1595,5373914
1596,5374201
1597,5403147
1598,5401261
1599,5402491
1600,5388838
1601,5384082
1602,5412208
1603,5412536
1604,5415201
1605,5451978
1606,5455422
1607,5458743
1608,5456283
1609,5436603
1610,5467353
1611,5451978
1612,5467599
1613,5466697
1614,5479940
1615,5485598
1616,5485967
1617,5511633
1618,5492158
1619,5512125
1620,5515815
1621,5506959
1622,5522703
1623,5527459
1624,5531723
1625,5531313
1626,5539923
1627,5540046
1628,5559316
1629,5564564
1630,5578504
1631,5563826
1632,5583588
1633,5598266
1634,5606958
1635,5617372
1636,5613559
1637,5614379
1638,5623481
1639,5625490
1640,5639471
1641,5655215
1642,5648286
1643,5654764
1644,5671410
1645,5657716
1646,5688876
1647,5692525
1648,5676822
1649,5705932
1650,5691869
1651,5693345
1652,5709991
1653,5722742
1654,5728933
1655,5735411
1656,5722742
1657,5728072
1658,5746481
1659,5727252
1660,5739634
1661,5748777
1662,5760585
1663,5745579
1664,5759355
1665,5783012
1666,5760175
1667,5779363
1668,5784734
1669,5773992
1670,5768416
1671,5794205
1672,5824832
1673,5818190
1674,5817493
1675,5830449
1676,5821470
1677,5821306
1678,5846890
1679,5848571
1680,5867513
1681,5873581
1682,5868866
1683,5873909
1684,5888997
1685,5887603
1686,5869932
1687,5876328
1688,5887193
1689,5886619
1690,5888218
1691,5904864
1692,5893261
1693,5893671
1694,5912531
1695,5911383
1696,5926102
1697,5923847
1698,5911506
1699,5954556
1700,5964273
1701,5965503
1702,5968824
1703,5978910
1704,5973826
1705,5994408
1706,6007241
1707,5971817
1708,6003961
1709,6004494
1710,6006134
1711,6011833
1712,6003551
1713,6016835
1714,6024625
1715,6036228
1716,6052669
1717,6045617
1718,6066281
1719,6057712
1720,6062591
1721,6090881
1722,6071775
1723,6076818
1724,6104780
1725,6117531
1726,6125608
1727,6133070
1728,6131799
1729,6110151
1730,6122328
1731,6135120
1732,6152791
1733,6134628
1734,6192602
1735,6157055
1736,6180261
1737,6170503
1738,6188092
1739,6206173
1740,6210314
1741,6208305
1742,6228190
1743,6201540
1744,6226591
1745,6236677
1746,6230363
1747,6260990
1748,6251396
1749,6257300
1750,6286328
1751,6280998
1752,6289239
1753,6301006
1754,6282925
1755,6312855
1756,6318841
1757,6319784
1758,6330977
1759,6323105
1760,6344138
1761,6354634
1762,6373904
1763,6354224
1764,6347295
1765,6363080
1766,6395839
1767,6397356
1768,6404572
1769,6400390
1770,6405638
1771,6422079
1772,6420316
1773,6439791
1774,6429377
1775,6417446
1776,6473452
1777,6440611
1778,6455617
1779,6449057
1780,6475994
1781,6460332
1782,6492066
1783,6489893
1784,6504366
1785,6471443
1786,6511336
1787,6499856
1788,6528310
1789,6509860
1790,6515600
1791,6536141
1792,6573410
1793,6584808
1794,6565784
1795,6559552
1796,6560987
1797,6591286
1798,6598543
1799,6591778
1800,6606784
1801,6594402
1802,6601085
1803,6596657
1804,6618510
1805,6625029
1806,6644258
1807,6626669
1808,6644996
1809,6669309
1810,6652827
1811,6661191
1812,6642208
1813,6689153
1814,6682101
1815,6682798
1816,6683495
1817,6695262
1818,6703544
1819,6706865
1820,6727529
1821,6741551
1822,6724249
1823,6754466
1824,6736754
1825,6758115
1826,6745118
1827,6780378
1828,6765331
1829,6772383
1830,6769923
1831,6778123
1832,6772055
1833,6786405
1834,6802641
1835,6801657
1836,6807684
1837,6829660
1838,6824330
1839,6830275
1840,6842944
1841,6841099
1842,6847700
1843,6863116
1844,6874596
1845,6868938
1846,6893497
1847,6860615
1848,6885010
1849,6902845
1850,6894358
1851,6909036
1852,6898212
1853,6934784
1854,6924985
1855,6906535
1856,6923058
1857,6942984
1858,6954997
1859,6951102
1860,6959630
1861,6964468
1862,6976563
1863,6987469
1864,6968240
1865,6968978
