n,Simple_Multiplication
1404,41451706
1405,41510735
1406,41569806
1407,41628919
1408,41688074
1409,41747268
1410,41806510
1411,41865791
1412,41925114
1413,41984479
1414,42043886
1415,42103335
1416,42162826
1417,42222359
1418,42281934
1419,42341551
1420,42401210
1421,42460911
1422,42520651
1423,42580439
1424,42640266
1425,42700135
1426,42760046
1427,42819996
1428,42879994
1429,42940031
1430,43000110
1431,43060228
1432,43120394
1433,43180599
1434,43240843
1435,43301135
1436,43361466
1437,43421839
1438,43482254
1439,43542711
1440,43603210
1441,43663751
1442,43724334
1443,43784959
1444,43845626
1445,43906335
1446,43967083
1447,44027879
1448,44088714
1449,44149591
1450,44210507
1451,44271471
1452,44332474
1453,44393519
1454,44454606
1455,44515735
1456,44576903
1457,44638119
1458,44699374
1459,44760671
1460,44822010
1461,44883391
1462,44944811
1463,45006279
1464,45067786
1465,45129335
1466,45190926
1467,45252556
1468,45314234
1469,45375951
1470,45437710
1471,45499511
1472,45561351
1473,45623239
1474,45685166
1475,45747135
1476,45809146
1477,45871199
1478,45933291
1479,45995428
1480,46057610
1481,46119828
1482,46182094
1483,46244399
1484,46306746
1485,46369135
1486,46431566
1487,46494036
1488,46556554
1489,46619108
1490,46681710
1491,46744351
1492,46807034
1493,46869756
1494,46932526
1495,46995335
1496,47058186
1497,47121076
1498,47184014
1499,47246991
1500,47310010
1501,47373071
1502,47436174
1503,47499319
1504,47562506
1505,47625735
1506,47689006
1507,47752316
1508,47815674
1509,47879068
1510,47942510
1511,48005991
1512,48069514
1513,48133079
1514,48196686
1515,48260335
1516,48324026
1517,48387759
1518,48451534
1519,48515348
1520,48579207
1521,48643111
1522,48707051
1523,48771039
1524,48835066
1525,48899135
1526,48963246
1527,49027399
1528,49091594
1529,49155831
1530,49220110
1531,49284428
1532,49348791
1533,49413199
1534,49477646
1535,49542135
1536,49606666
1537,49671236
1538,49735854
1539,49800511
1540,49865210
1541,49929951
1542,49994734
1543,50059559
1544,50124426
1545,50189332
1546,50254286
1547,50319279
1548,50384311
1549,50449391
1550,50514510
1551,50579668
1552,50644874
1553,50710119
1554,50775406
1555,50840735
1556,50906106
1557,50971516
1558,51036974
1559,51102471
1560,51168010
1561,51233591
1562,51299214
1563,51364879
1564,51430586
1565,51496335
1566,51562123
1567,51627959
1568,51693831
1569,51759751
1570,51825710
1571,51891711
1572,51957751
1573,52023839
1574,52089966
1575,52156135
1576,52222346
1577,52288599
1578,52354894
1579,52421231
1580,52487610
1581,52554031
1582,52620494
1583,52686999
1584,52753546
1585,52820135
1586,52886766
1587,52953439
1588,53020154
1589,53086911
1590,53153710
1591,53220548
1592,53287434
1593,53354359
1594,53421326
1595,53488335
1596,53555386
1597,53622476
1598,53689611
1599,53756791
1600,53824010
1601,53891271
1602,53958574
1603,54025916
1604,54093306
1605,54160735
1606,54228206
1607,54295719
1608,54363271
1609,54430871
1610,54498510
1611,54566191
1612,54633914
1613,54701679
1614,54769486
1615,54837335
1616,54905226
1617,54973159
1618,55041134
1619,55109148
1620,55177210
1621,55245311
1622,55313454
1623,55381639
1624,55449866
1625,55518135
1626,55586446
1627,55654799
1628,55723194
1629,55791631
1630,55860110
1631,55928631
1632,55997194
1633,56065799
1634,56134446
1635,56203135
1636,56271866
1637,56340636
1638,56409454
1639,56478311
1640,56547210
1641,56616151
1642,56685134
1643,56754156
1644,56823226
1645,56892335
1646,56961486
1647,57030679
1648,57099914
1649,57169188
1650,57238510
1651,57307871
1652,57377274
1653,57446719
1654,57516206
1655,57585732
1656,57655303
1657,57724919
1658,57794574
1659,57864271
1660,57934010
1661,58003788
1662,58073614
1663,58143479
1664,58213386
1665,58283335
1666,58353326
1667,58423359
1668,58493434
1669,58563551
1670,58633710
1671,58703911
1672,58774154
1673,58844439
1674,58914763
1675,58985135
1676,59055546
1677,59125999
1678,59196494
1679,59267031
1680,59337607
1681,59408231
1682,59478894
1683,59549599
1684,59620346
1685,59691135
1686,59761966
1687,59832839
1688,59903754
1689,59974711
1690,60045710
1691,60116751
1692,60187831
1693,60258956
1694,60330126
1695,60401335
1696,60472586
1697,60543879
1698,60615214
1699,60686591
1700,60758010
1701,60829468
1702,60900974
1703,60972519
1704,61044106
1705,61115735
1706,61187406
1707,61259116
1708,61330874
1709,61402671
1710,61474510
1711,61546391
1712,61618314
1713,61690279
1714,61762286
1715,61834335
1716,61906426
1717,61978556
1718,62050731
1719,62122948
1720,62195210
1721,62267511
1722,62339854
1723,62412239
1724,62484663
1725,62557135
1726,62629646
1727,62702199
1728,62774794
1729,62847431
1730,62920110
1731,62992831
1732,63065591
1733,63138396
1734,63211246
1735,63284135
1736,63357066
1737,63430039
1738,63503051
1739,63576111
1740,63649207
1741,63722351
1742,63795534
1743,63868759
1744,63942026
1745,64015335
1746,64088686
1747,64162079
1748,64235514
1749,64308991
1750,64382507
1751,64456071
1752,64529674
1753,64603319
1754,64677006
1755,64750735
1756,64824506
1757,64898319
1758,64972174
1759,65046071
1760,65120010
1761,65193991
1762,65268011
1763,65342079
1764,65416186
1765,65490335
1766,65564526
1767,65638756
1768,65713034
1769,65787351
1770,65861707
1771,65936111
1772,66010554
1773,66085039
1774,66159566
1775,66234132
1776,66308743
1777,66383399
1778,66458094
1779,66532831
1780,66607610
1781,66682428
1782,66757291
1783,66832199
1784,66907146
1785,66982135
1786,67057163
1787,67132239
1788,67207354
1789,67282511
1790,67357710
1791,67432951
1792,67508234
1793,67583559
1794,67658926
1795,67734335
1796,67809786
1797,67885276
1798,67960814
1799,68036391
1800,68112010
1801,68187671
1802,68263374
1803,68339119
1804,68414906
1805,68490735
1806,68566606
1807,68642516
1808,68718471
1809,68794471
1810,68870510
1811,68946591
1812,69022714
1813,69098879
1814,69175086
1815,69251335
1816,69327626
1817,69403959
1818,69480334
1819,69556751
1820,69633207
1821,69709711
1822,69786254
1823,69862839
1824,69939466
1825,70016135
1826,70092846
1827,70169599
1828,70246394
1829,70323231
1830,70400110
1831,70477031
1832,70553994
1833,70630999
1834,70708043
1835,70785135
1836,70862263
1837,70939439
1838,71016654
1839,71093911
1840,71171210
1841,71248551
1842,71325934
1843,71403359
1844,71480826
1845,71558335
1846,71635886
1847,71713479
1848,71791114
1849,71868788
1850,71946510
1851,72024268
1852,72102074
1853,72179916
1854,72257806
1855,72335735
1856,72413706
1857,72491716
1858,72569774
1859,72647871
1860,72726010
1861,72804191
1862,72882414
1863,72960676
1864,73038983
1865,73117335
1866,73195726
1867,73274159
1868,73352634
1869,73431151
1870,73509710
1871,73588311
1872,73666954
1873,73745639
1874,73824366
