n,Simple_Multiplication,Karatsuba
1097,15693692,2970904
1098,15722272,2985541
1099,15750878,2975578
1100,15779510,2987714
1101,15808168,2982753
1102,15836849,2996242
1103,15865562,3007107
1104,15894298,3016947
1105,15923060,3009034
1106,15951848,3015389
1107,15980662,3013913
1108,16009502,3021949
1109,16038368,3021293
1110,16067260,3012683
1111,16096175,3016086
1112,16125122,3033306
1113,16154092,3031625
1114,16183088,3044499
1115,16212110,3048599
1116,16241155,3058972
1117,16270232,3054872
1118,16299332,3055405
1119,16328458,3074019
1120,16357610,3079636
1121,16386788,3078119
1122,16415992,3071149
1123,16445222,3084433
1124,16474478,3087016
1125,16503760,3080989
1126,16533065,3096036
1127,16562402,3100915
1128,16591762,3095380
1129,16621148,3107639
1130,16650560,3102842
1131,16679998,3105999
1132,16709462,3115593
1133,16738952,3118012
1134,16768468,3133674
1135,16798007,3128180
1136,16827578,3137364
1137,16857172,3135683
1138,16886792,3133633
1139,16916438,3137733
1140,16946110,3141751
1141,16975808,3151878
1142,17005532,3161267
1143,17035282,3168729
1144,17065058,3170164
1145,17094860,3168278
1146,17124688,3170082
1147,17154542,3179594
1148,17184419,3174469
1149,17214328,3194641
1150,17244260,3190746
1151,17274218,3195543
1152,17304202,3205383
1153,17334212,3198331
1154,17364248,3210467
1155,17394307,3213583
1156,17424398,3211041
1157,17454512,3227851
1158,17484652,3234370
1159,17514818,3231090
1160,17545010,3249581
1161,17575228,3240766
1162,17605472,3232771
1163,17635739,3248761
1164,17666035,3252779
1165,17696360,3251016
1166,17726708,3257617
1167,17757082,3269712
1168,17787482,3264341
1169,17817908,3277379
1170,17848360,3259872
1171,17878838,3278363
1172,17909342,3283201
1173,17939872,3289966
1174,17970428,3298248
1175,18001010,3293697
1176,18031618,3300626
1177,18062252,3316124
1178,18092912,3297059
1179,18123598,3314156
1180,18154307,3303209
1181,18185045,3326989
1182,18215812,3324365
1183,18246599,3331417
1184,18277418,3330228
1185,18308257,3323299
1186,18339128,3343143
1187,18370022,3347735
1188,18400942,3348145
1189,18431888,3360322
1190,18462857,3360609
1191,18493858,3357821
1192,18524882,3357247
1193,18555932,3371966
1194,18587008,3373975
1195,18618107,3381519
1196,18649238,3380125
1197,18680392,3385455
1198,18711572,3383282
1199,18742775,3392302
1200,18774010,3396812
1201,18805268,3399395
1202,18836552,3394311
1203,18867862,3405545
1204,18899195,3410178
1205,18930560,3426045
1206,18961948,3424979
1207,18993362,3430309
1208,19024802,3415057
1209,19056268,3443880
1210,19087757,3442650
1211,19119278,3449005
1212,19150822,3467250
1213,19182392,3453515
1214,19213988,3459255
1215,19245610,3479017
1216,19277258,3471514
1217,19308932,3467742
1218,19340632,3486438
1219,19372358,3495376
1220,19404107,3490825
1221,19435885,3475204
1222,19467692,3491235
1223,19499522,3492752
1224,19531375,3510669
1225,19563260,3514974
1226,19595168,3514851
1227,19627102,3516204
1228,19659062,3510095
1229,19691048,3523092
1230,19723060,3540558
1231,19755098,3519894
1232,19787162,3530923
1233,19819252,3539902
1234,19851368,3550480
1235,19883510,3551177
1236,19915678,3558680
1237,19947872,3546626
1238,19980092,3558024
1239,20012338,3565527
1240,20044610,3564912
1241,20076905,3575408
1242,20109229,3577499
1243,20141582,3579631
1244,20173958,3572538
1245,20206360,3586273
1246,20238785,3611980
1247,20271242,3607142
1248,20303719,3608946
1249,20336228,3599680
1250,20368760,3598204
1251,20401318,3620344
1252,20433902,3628462
1253,20466512,3628913
1254,20499148,3626166
1255,20531807,3624649
1256,20564498,3636826
1257,20597212,3656342
1258,20629952,3639942
1259,20662718,3664952
1260,20695507,3668396
1261,20728328,3666551
1262,20761172,3680614
1263,20794042,3664665
1264,20826938,3679384
1265,20859860,3661385
1266,20892808,3688240
1267,20925782,3682787
1268,20958779,3669708
1269,20991808,3688281
1270,21024860,3697834
1271,21057938,3704968
